albania,3020209,0.2,55
andora,85458,0.15,4
austria,8223062,4.3,9
belgia,10449361,1.4,21
białoruś,9608058,0.15,72
bośnia i Hercegowina,3871643,0.15,90
bułgaria,6924716,1.3,102
chorwacja,4470534,2.0,43
czarnogóra,650036,0.2,100
czechy,10627448,1.8,48
dania,5569077,0.6,34
estonia,1257921,0.5,77
finlandia,5268799,0.5,31
francja,66259012,14.4,1
grecja,10775557,3.8,14
hiszpania,47737941,11.2,7
holandia,16877351,2.4,17
irlandia,4832765,0.5,18
islandia,317351,0.2,15
litwa,3505738,0.4,73
luksemburg,520672,0.2,16
łotwa,2165165,0.3,105
macedonia,2091719,0.2,24
malta,412665,0.3,5
mołdawia,3583288,0.2,33
monako,30508,0.15,13
niemcy,80996685,5.7,25
norwegia,5147792,0.8,11
polska,38346279,2.8,50
portugalia,10813834,1.6,12
rosja,142470272,5.1,130
rumunia,21729871,0.3,99
san Marino,32742,0.15,3
serbia,7209764,0.2,45
słowacja,5443583,0.6,62
słowenia,1988292,0.4,38
szwajcaria,8061516,1.6,20
szwecja,9723809,1.8,23
ukraina,44291413,2.2,79
węgry,9919128,2.1,66
wielka Brytania,63742977,5.6,18
włochy,61680122,8.3,2
